Features,ANOVAF,SKB-Chi2,SKB-MICIF,PIKNN,LASSO,DTC,ETC,RFC,XGB,Mean Scores
5,7082.486027551706,984.1928638917777,0.7495047736765785,0.35355698310730427,1.253302496192489,0.5024557129186829,0.4954272125276332,0.5072261903753127,0.29553157,1008.8175456015352
8,809.097210913873,750.8703976336653,0.19574978399011145,0.14941708303592677,0.31085317517485783,0.18609206660137118,0.11854300377779153,0.12320664928739085,0.35857582,195.1314337886757
9,665.3437283718561,682.6741759871273,0.1721812482852516,0.13038305971924818,0.23845972843120564,0.12561129376942834,0.10139908713568717,0.08861112553542928,0.21910739,168.60931873773242
4,447.69842374856034,456.10775727483866,0.12129706988711852,0.10663811563169168,0.2438270473941476,0.056639779496111216,0.06779736003872212,0.0616119150541171,0.05023855,113.05799903886259
0,306.6090960880595,145.51747410791072,0.26768450110149966,0.055674518201284814,0.26575716192747345,0.034089009869639114,0.055565758449101235,0.057627968484852535,0.016847247,56.607871139250506
6,214.41464385123064,229.39154260525953,0.10688274805564446,0.07080656673804427,0.16053875407010185,0.007699732726090632,0.03462150085093609,0.03441959171115057,0.015298071,55.52764441883027
7,161.02486474359247,171.1566173114645,0.07328130470655325,0.07875327147275754,0.14356055121212832,0.008599125834537749,0.028968225655308103,0.020658430922600717,0.012491962,41.56691287060761
1,165.6311690226053,98.60458954455504,0.15443481227496125,0.043112062812276954,0.2176787308467995,0.030492743203888707,0.03051012733980873,0.03078984952520495,0.010262056,33.09284711164541
3,139.7281544649903,79.44535867594443,0.18931137582717938,0.024268379728765187,0.141405435183794,0.0393040173000961,0.04037797483561509,0.04647950179259951,0.014660534,27.456832478200347
2,144.17039173289353,71.74146004013592,0.22230774389187058,0.022222222222222233,0.19515182587374208,0.009016518280154222,0.026789749389396777,0.029368777311341854,0.0069868513,27.052088576249773
